"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"904","REACTOME pathway","R-DME-9006934","Signaling by Receptor Tyrosine Kinases","LinearDown-6",0.0327,29,171,1320,2,"LinearDown-6, LinearUp-5"
"905","FlyBase Gene Group","FBgg0000667","SLC22 FAMILY OF ORGANIC IONS TRANSPORTERS","Complex-12",0.0333,4,40,219,1,"Complex-12"
"906","SLIM2 GO BP","GO:0019098","reproductive behavior","LinearDown-3",0.0333,10,131,334,2,"Complex-11, LinearDown-3"
"907","SLIM2 GO CC","GO:0005615","extracellular space","Complex-7",0.0339,8,630,66,4,"Complex-11, Complex-7, LinearUp-2, LinearUp-5"
"908","SLIM2 GO BP","GO:0005975","carbohydrate metabolic process","LinearDown-6",0.0339,38,260,1320,3,"Complex-10, Complex-3, LinearDown-6"
"909","REACTOME pathway","R-DME-193048","Androgen biosynthesis","LinearDown-1",0.034,2,3,167,1,"LinearDown-1"
"910","REACTOME pathway","R-DME-196071","Metabolism of steroid hormones","LinearDown-1",0.034,6,75,167,1,"LinearDown-1"
"911","REACTOME pathway","R-DME-166166","MyD88-independent TLR4 cascade","LinearUp-1",0.0341,5,39,438,1,"LinearUp-1"
"912","REACTOME pathway","R-DME-168164","Toll Like Receptor 3 (TLR3) Cascade","LinearUp-1",0.0341,5,39,438,1,"LinearUp-1"
"913","REACTOME pathway","R-DME-193704","p75 NTR receptor-mediated signalling","LinearDown-6",0.0341,10,38,1320,2,"LinearDown-6, LinearUp-1"
"914","REACTOME pathway","R-DME-373760","L1CAM interactions","LinearDown-6",0.0341,11,44,1320,1,"LinearDown-6"
"915","REACTOME pathway","R-DME-399719","Trafficking of AMPA receptors","LinearDown-6",0.0341,6,16,1320,1,"LinearDown-6"
"916","REACTOME pathway","R-DME-399721","Glutamate binding, activation of AMPA receptors and synaptic plasticity","LinearDown-6",0.0341,6,16,1320,1,"LinearDown-6"
"917","REACTOME pathway","R-DME-416993","Trafficking of GluR2-containing AMPA receptors","LinearDown-6",0.0341,6,16,1320,1,"LinearDown-6"
"918","REACTOME pathway","R-DME-8849932","Synaptic adhesion-like molecules","LinearDown-6",0.0341,6,16,1320,1,"LinearDown-6"
"919","REACTOME pathway","R-DME-937061","TRIF(TICAM1)-mediated TLR4 signaling","LinearUp-1",0.0341,5,39,438,1,"LinearUp-1"
"920","REACTOME pathway","R-DME-9013420","RHOU GTPase cycle","LinearUp-5",0.0345,7,27,699,1,"LinearUp-5"
"921","REACTOME pathway","R-DME-1430728","Metabolism","LinearUp-1",0.0347,55,1212,438,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"922","SLIM2 GO BP","GO:0019098","reproductive behavior","Complex-11",0.0348,5,131,97,2,"Complex-11, LinearDown-3"
"923","REACTOME pathway","R-DME-73894","DNA Repair","LinearUp-3",0.0349,10,133,286,2,"LinearUp-1, LinearUp-3"
"924","REACTOME pathway","R-DME-8953854","Metabolism of RNA","LinearUp-3",0.0349,22,477,286,4,"Complex-6, LinearUp-1, LinearUp-3, LinearUp-4"
"925","FlyBase Gene Group","FBgg0001697","CYTOCHROME P450 - MITO CLAN","Complex-9",0.035,2,11,69,1,"Complex-9"
"926","FlyBase Gene Group","FBgg0001838","26S PROTEASOME - TESTIS-SPECIFIC VARIANT","LinearUp-1",0.035,6,38,438,1,"LinearUp-1"
"927","REACTOME pathway","R-DME-69481","G2/M Checkpoints","LinearUp-2",0.035,7,42,421,1,"LinearUp-2"
"928","REACTOME pathway","R-DME-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","LinearUp-2",0.035,10,85,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"929","FlyBase Gene Group","FBgg0001123","TRANSAMINASES","Complex-10",0.0351,2,15,78,1,"Complex-10"
"930","SLIM2 GO CC","GO:0005739","mitochondrion","Complex-2",0.0352,6,792,27,4,"Complex-2, Complex-3, Complex-7, LinearDown-6"
"931","REACTOME pathway","R-DME-166016","Toll Like Receptor 4 (TLR4) Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"932","REACTOME pathway","R-DME-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"933","REACTOME pathway","R-DME-168138","Toll Like Receptor 9 (TLR9) Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"934","REACTOME pathway","R-DME-168176","Toll Like Receptor 5 (TLR5) Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"935","REACTOME pathway","R-DME-168179","Toll Like Receptor TLR1:TLR2 Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"936","REACTOME pathway","R-DME-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"937","REACTOME pathway","R-DME-168188","Toll Like Receptor TLR6:TLR2 Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"938","REACTOME pathway","R-DME-181438","Toll Like Receptor 2 (TLR2) Cascade","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"939","REACTOME pathway","R-DME-8852135","Protein ubiquitination","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"940","REACTOME pathway","R-DME-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"941","REACTOME pathway","R-DME-975155","MyD88 dependent cascade initiated on endosome","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"942","REACTOME pathway","R-DME-975871","MyD88 cascade initiated on plasma membrane","LinearUp-1",0.0353,5,40,438,1,"LinearUp-1"
"943","FlyBase Gene Group","FBgg0001483","METALLO-TYPE NON-PEPTIDASE HOMOLOGS","LinearUp-1",0.0354,7,52,438,2,"Complex-13, LinearUp-1"
"944","SLIM2 GO MF","GO:0003677","DNA binding","LinearUp-3",0.0354,33,893,286,2,"LinearUp-2, LinearUp-3"
"945","SLIM2 GO MF","GO:0004518","nuclease activity","LinearUp-3",0.0354,9,124,286,1,"LinearUp-3"
"946","SLIM2 GO BP","GO:0055086","nucleobase-containing small molecule metabolic process","Complex-7",0.0354,6,262,66,3,"Complex-7, LinearUp-1, LinearUp-2"
"947","REACTOME pathway","R-DME-162658","Golgi Cisternae Pericentriolar Stack Reorganization","LinearUp-7",0.0354,2,8,130,1,"LinearUp-7"
"948","REACTOME pathway","R-DME-77075","RNA Pol II CTD phosphorylation and interaction with CE","LinearUp-1",0.0356,4,26,438,1,"LinearUp-1"
"949","FlyBase Gene Group","FBgg0001806","UNCLASSIFIED PSEUDOENZYMES","Complex-13",0.0357,2,21,56,1,"Complex-13"
"950","REACTOME pathway","R-DME-382556","ABC-family proteins mediated transport","Complex-6",0.0357,5,98,149,2,"Complex-6, LinearUp-1"
"951","REACTOME pathway","R-DME-5675221","Negative regulation of MAPK pathway","Complex-6",0.0357,3,31,149,1,"Complex-6"
"952","REACTOME pathway","R-DME-9646399","Aggrephagy","Complex-6",0.0357,3,31,149,1,"Complex-6"
"953","REACTOME pathway","R-DME-15869","Metabolism of nucleotides","LinearUp-1",0.036,6,56,438,1,"LinearUp-1"
"954","REACTOME pathway","R-DME-166663","Initial triggering of complement","LinearUp-1",0.036,2,5,438,1,"LinearUp-1"
"955","REACTOME pathway","R-DME-173736","Alternative complement activation","LinearUp-1",0.036,2,5,438,1,"LinearUp-1"
"956","REACTOME pathway","R-DME-174577","Activation of C3 and C5","LinearUp-1",0.036,2,5,438,1,"LinearUp-1"
"957","REACTOME pathway","R-DME-8849469","PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1","LinearUp-1",0.036,2,5,438,2,"Complex-6, LinearUp-1"
"958","SLIM2 GO BP","GO:0051301","cell division","LinearUp-7",0.0364,8,269,130,3,"LinearUp-2, LinearUp-3, LinearUp-7"
"959","REACTOME pathway","R-DME-69202","Cyclin E associated events during G1/S transition","Complex-6",0.0364,4,62,149,2,"Complex-6, LinearUp-1"
"960","REACTOME pathway","R-DME-1257604","PIP3 activates AKT signaling","Complex-6",0.0365,6,142,149,2,"Complex-6, LinearUp-1"
"961","REACTOME pathway","R-DME-209447","Activation of the IkappaB kinase complex, KEY:IRD5 dimer:KEY","Complex-6",0.0365,2,10,149,1,"Complex-6"
"962","FlyBase Gene Group","FBgg0001537","THIOLESTER HYDROLASES","Complex-10",0.0366,2,16,78,1,"Complex-10"
"963","REACTOME pathway","R-DME-69656","Cyclin A:Cdk2-associated events at S phase entry","Complex-6",0.0367,4,63,149,2,"Complex-6, LinearUp-1"
"964","FlyBase Gene Group","FBgg0001260","CARBOHYDRATE KINASES","Complex-10",0.0368,2,17,78,1,"Complex-10"
"965","FlyBase Gene Group","FBgg0001709","DIOXYGENASES","Complex-10",0.0368,3,57,78,1,"Complex-10"
"966","FlyBase Gene Group","FBgg0001039","PEROXIDE OXIDOREDUCTASES","Complex-12",0.037,4,42,219,1,"Complex-12"
"967","FlyBase Gene Group","FBgg0001040","PEROXIDASES","Complex-12",0.037,4,42,219,1,"Complex-12"
"968","FlyBase Gene Group","FBgg0001124","NITROGENOUS GROUP TRANSFERASES","Complex-10",0.0371,2,18,78,1,"Complex-10"
"969","SLIM2 GO BP","GO:0006790","sulfur compound metabolic process","Complex-9",0.0371,5,160,69,1,"Complex-9"
"970","FlyBase Gene Group","FBgg0001840","MITOCHONDRIAL COMPLEX IV - TESTIS-SPECIFIC VARIANT","LinearDown-6",0.0373,6,15,1320,1,"LinearDown-6"
"971","FlyBase Gene Group","FBgg0000333","RAS SUPERFAMILY GTPASE ACTIVATING PROTEINS","LinearDown-4",0.0374,6,66,259,2,"LinearDown-4, LinearUp-5"
"972","FlyBase Gene Group","FBgg0000922","CH-OH GROUP OXIDOREDUCTASES","Complex-3",0.0374,2,127,21,5,"Complex-10, Complex-2, Complex-3, Complex-7, LinearDown-1"
"973","SLIM2 GO MF","GO:0003723","RNA binding","LinearUp-6",0.0374,13,620,115,2,"LinearUp-4, LinearUp-6"
"974","SLIM2 GO MF","GO:0016746","transferase activity, transferring acyl groups","LinearUp-6",0.0374,7,209,115,2,"Complex-2, LinearUp-6"
"975","REACTOME pathway","R-DME-168142","Toll Like Receptor 10 (TLR10) Cascade","LinearUp-1",0.0376,5,41,438,1,"LinearUp-1"
"976","REACTOME pathway","R-DME-6796648","TP53 Regulates Transcription of DNA Repair Genes","LinearUp-1",0.0376,5,41,438,1,"LinearUp-1"
"977","REACTOME pathway","R-DME-5576891","Cardiac conduction","LinearDown-6",0.0385,15,71,1320,1,"LinearDown-6"
"978","REACTOME pathway","R-DME-9013418","RHOBTB2 GTPase cycle","LinearDown-6",0.0385,8,27,1320,1,"LinearDown-6"
"979","FlyBase Gene Group","FBgg0000681","SLC5 FAMILY OF SODIUM/GLUCOSE CO-TRANSPORTER TRANSPORTERS","Complex-5",0.0386,2,15,33,1,"Complex-5"
"980","FlyBase Gene Group","FBgg0000483","MITOCHONDRIAL COMPLEX V - F1 SUBUNITS","Complex-12",0.0391,2,7,219,1,"Complex-12"
"981","REACTOME pathway","R-DME-73887","Death Receptor Signaling","LinearDown-6",0.0391,11,45,1320,2,"LinearDown-6, LinearUp-1"
"982","SLIM2 GO MF","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","Complex-12",0.0392,6,97,219,1,"Complex-12"
"983","DRSC GLAD Gene Group","GLAD:24608","Ubiquitin-related","LinearDown-4",0.0393,17,455,259,1,"LinearDown-4"
"984","REACTOME pathway","R-DME-157118","Signaling by NOTCH","Complex-6",0.0393,2,11,149,1,"Complex-6"
"985","REACTOME pathway","R-DME-5357905","Regulation of TNFR1 signaling","Complex-6",0.0393,2,11,149,2,"Complex-6, LinearUp-1"
"986","REACTOME pathway","R-DME-71064","Lysine catabolism","Complex-6",0.0393,2,11,149,1,"Complex-6"
"987","REACTOME pathway","R-DME-75893","TNF signaling","Complex-6",0.0393,2,11,149,2,"Complex-6, LinearUp-1"
"988","REACTOME pathway","R-DME-937039","IRAK1 recruits IKK complex","Complex-6",0.0393,2,11,149,2,"Complex-6, LinearUp-1"
"989","REACTOME pathway","R-DME-9708530","Regulation of BACH1 activity","Complex-6",0.0393,2,11,149,1,"Complex-6"
"990","REACTOME pathway","R-DME-975144","IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation","Complex-6",0.0393,2,11,149,2,"Complex-6, LinearUp-1"
"991","SLIM2 GO CC","GO:0005886","plasma membrane","LinearDown-3",0.0394,48,1267,334,4,"Complex-12, LinearDown-3, LinearDown-4, LinearDown-6"
"992","SLIM2 GO CC","GO:0045202","synapse","LinearDown-3",0.0394,16,301,334,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"993","REACTOME pathway","R-DME-156827","L13a-mediated translational silencing of Ceruloplasmin expression","LinearUp-2",0.0395,11,105,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"994","REACTOME pathway","R-DME-6798695","Neutrophil degranulation","LinearUp-2",0.0395,30,494,421,2,"LinearUp-1, LinearUp-2"
"995","REACTOME pathway","R-DME-1632852","Macroautophagy","LinearUp-1",0.04,8,93,438,2,"Complex-3, LinearUp-1"
"996","REACTOME pathway","R-DME-9612973","Autophagy","LinearUp-1",0.04,8,93,438,2,"Complex-3, LinearUp-1"
"997","SLIM2 GO BP","GO:0016072","rRNA metabolic process","LinearUp-1",0.0401,12,138,438,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"998","FlyBase Gene Group","FBgg0000077","GLUTATHIONE S-TRANSFERASES","LinearDown-1",0.0402,4,38,167,1,"LinearDown-1"
"999","FlyBase Gene Group","FBgg0000804","INTRAMOLECULAR OXIDOREDUCTASES","LinearUp-7",0.0402,3,32,130,1,"LinearUp-7"
"1000","FlyBase Gene Group","FBgg0000922","CH-OH GROUP OXIDOREDUCTASES","LinearDown-1",0.0402,7,127,167,5,"Complex-10, Complex-2, Complex-3, Complex-7, LinearDown-1"
"1001","REACTOME pathway","R-DME-71291","Metabolism of amino acids and derivatives","Complex-7",0.0404,5,198,66,5,"Complex-10, Complex-4, Complex-6, Complex-7, LinearUp-1"
"1002","REACTOME pathway","R-DME-71291","Metabolism of amino acids and derivatives","Complex-4",0.0407,3,198,15,5,"Complex-10, Complex-4, Complex-6, Complex-7, LinearUp-1"
"1003","REACTOME pathway","R-DME-111931","PKA-mediated phosphorylation of CREB","LinearDown-6",0.0408,5,12,1320,1,"LinearDown-6"
"1004","REACTOME pathway","R-DME-1266738","Developmental Biology","LinearDown-6",0.0408,32,199,1320,2,"LinearDown-6, LinearUp-5"
"1005","REACTOME pathway","R-DME-163615","PKA activation","LinearDown-6",0.0408,5,12,1320,1,"LinearDown-6"
"1006","REACTOME pathway","R-DME-3238698","WNT ligand biogenesis and trafficking","LinearDown-6",0.0408,5,12,1320,1,"LinearDown-6"
"1007","REACTOME pathway","R-DME-5576886","Phase 4 - resting membrane potential","LinearDown-6",0.0408,5,12,1320,1,"LinearDown-6"
"1008","REACTOME pathway","R-DME-71387","Metabolism of carbohydrates","LinearDown-6",0.0408,26,152,1320,4,"Complex-10, Complex-3, Complex-6, LinearDown-6"
"1009","REACTOME pathway","R-DME-168898","Toll-like Receptor Cascades","LinearUp-1",0.0409,5,42,438,1,"LinearUp-1"
"1010","FlyBase Gene Group","FBgg0000059","MITOCHONDRIAL RIBOSOMAL PROTEINS","LinearDown-6",0.041,16,75,1320,1,"LinearDown-6"
"1011","FlyBase Gene Group","FBgg0000695","SLC25 FAMILY OF MITOCHONDRIAL TRANSPORTERS","LinearDown-6",0.041,12,49,1320,1,"LinearDown-6"
"1012","REACTOME pathway","R-DME-156580","Phase II - Conjugation of compounds","Complex-9",0.0416,3,40,69,1,"Complex-9"
"1013","FlyBase Gene Group","FBgg0000197","METALLOTHIONEINS","LinearUp-5",0.0423,3,5,699,1,"LinearUp-5"
"1014","FlyBase Gene Group","FBgg0000330","ADP-RIBOSYLATION FACTOR GTPASE ACTIVATING PROTEINS","LinearUp-5",0.0423,4,10,699,1,"LinearUp-5"
"1015","FlyBase Gene Group","FBgg0000814","PHOSPHORIC ESTER LIGASES","LinearUp-5",0.0423,3,5,699,1,"LinearUp-5"
"1016","REACTOME pathway","R-DME-210500","Glutamate Neurotransmitter Release Cycle","LinearDown-6",0.0424,6,17,1320,1,"LinearDown-6"
"1017","REACTOME pathway","R-DME-5173214","O-glycosylation of TSR domain-containing proteins","LinearDown-6",0.0424,6,17,1320,1,"LinearDown-6"
"1018","REACTOME pathway","R-DME-975576","N-glycan antennae elongation in the medial/trans-Golgi","LinearDown-6",0.0424,6,17,1320,1,"LinearDown-6"
"1019","SLIM2 GO BP","GO:0055086","nucleobase-containing small molecule metabolic process","LinearUp-1",0.0425,18,262,438,3,"Complex-7, LinearUp-1, LinearUp-2"
"1020","REACTOME pathway","R-DME-2022090","Assembly of collagen fibrils and other multimeric structures","Complex-12",0.0425,2,5,219,1,"Complex-12"
"1021","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-3",0.0426,5,647,21,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"1022","FlyBase Gene Group","FBgg0001321","BETA-N-ACETYLGLUCOSAMINE BETA-1,3-GALACTOSYLTRANSFERASES","LinearDown-6",0.0428,4,7,1320,1,"LinearDown-6"
"1023","REACTOME pathway","R-DME-9755511","KEAP1-NFE2L2 pathway","Complex-6",0.0428,4,68,149,2,"Complex-6, LinearUp-1"
"1024","REACTOME pathway","R-DME-211859","Biological oxidations","Complex-6",0.0429,5,108,149,3,"Complex-10, Complex-6, Complex-9"
"1025","REACTOME pathway","R-DME-9748784","Drug ADME","Complex-6",0.0429,6,152,149,1,"Complex-6"
"1026","SLIM2 GO MF","GO:0008233","peptidase activity","LinearUp-1",0.043,31,541,438,1,"LinearUp-1"
"1027","REACTOME pathway","R-DME-73894","DNA Repair","LinearUp-1",0.043,10,133,438,2,"LinearUp-1, LinearUp-3"
"1028","REACTOME pathway","R-DME-390471","Association of TriC/CCT with target proteins during biosynthesis","LinearUp-7",0.0431,2,9,130,2,"LinearUp-5, LinearUp-7"
"1029","REACTOME pathway","R-DME-69231","Cyclin D associated events in G1","LinearUp-1",0.0431,4,28,438,2,"Complex-6, LinearUp-1"
"1030","REACTOME pathway","R-DME-69236","G1 Phase","LinearUp-1",0.0431,4,28,438,2,"Complex-6, LinearUp-1"
"1031","REACTOME pathway","R-DME-72086","mRNA Capping","LinearUp-1",0.0431,4,28,438,1,"LinearUp-1"
"1032","SLIM2 GO CC","GO:0005829","cytosol","LinearUp-7",0.0432,15,790,130,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"1033","REACTOME pathway","R-DME-450302","activated TAK1 mediates p38 MAPK activation","Complex-6",0.0432,2,12,149,1,"Complex-6"
"1034","REACTOME pathway","R-DME-538864","Degradation of CRY","Complex-6",0.0432,3,36,149,2,"Complex-6, LinearUp-1"
"1035","REACTOME pathway","R-DME-912631","Regulation of signaling by CBL","Complex-6",0.0432,2,12,149,1,"Complex-6"
"1036","FlyBase Gene Group","FBgg0000067","INHIBITORY SERPINS","LinearUp-5",0.0433,5,17,699,1,"LinearUp-5"
"1037","SLIM2 GO BP","GO:0016071","mRNA metabolic process","LinearDown-4",0.0434,15,389,259,1,"LinearDown-4"
"1038","REACTOME pathway","R-DME-176187","Activation of ATR in response to replication stress","LinearUp-2",0.0442,6,34,421,1,"LinearUp-2"
"1039","FlyBase Gene Group","FBgg0000501","HEAT SHOCK PROTEINS","LinearUp-5",0.0445,12,85,699,2,"LinearUp-5, LinearUp-7"
"1040","FlyBase Gene Group","FBgg0000231","AGC-KINASES","LinearDown-4",0.0449,4,29,259,1,"LinearDown-4"
"1041","FlyBase Gene Group","FBgg0000925","CH-OH STEROID DEHYDROGENASES","LinearDown-1",0.045,3,19,167,1,"LinearDown-1"
"1042","SLIM2 GO BP","GO:0007399","nervous system development","LinearDown-3",0.0453,43,1112,334,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"1043","REACTOME pathway","R-DME-391903","Eicosanoid ligand-binding receptors","LinearDown-6",0.0454,4,8,1320,1,"LinearDown-6"
"1044","REACTOME pathway","R-DME-425561","Sodium/Calcium exchangers","LinearDown-6",0.0454,4,8,1320,1,"LinearDown-6"
"1045","REACTOME pathway","R-DME-500792","GPCR ligand binding","LinearDown-4",0.0455,5,47,259,2,"LinearDown-4, LinearDown-6"
"1046","REACTOME pathway","R-DME-381042","PERK regulates gene expression","LinearUp-5",0.0456,3,4,699,1,"LinearUp-5"
"1047","SLIM2 GO BP","GO:0006091","generation of precursor metabolites and energy","Complex-3",0.0464,3,218,21,3,"Complex-12, Complex-3, LinearDown-6"
"1048","SLIM2 GO MF","GO:0016746","transferase activity, transferring acyl groups","Complex-2",0.0465,3,209,27,2,"Complex-2, LinearUp-6"
"1049","SLIM2 GO CC","GO:0005615","extracellular space","LinearUp-2",0.0472,31,630,421,4,"Complex-11, Complex-7, LinearUp-2, LinearUp-5"
"1050","SLIM2 GO BP","GO:0042221","response to chemical","LinearDown-3",0.0475,44,1159,334,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"1051","REACTOME pathway","R-DME-1980143","Signaling by NOTCH1","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1052","REACTOME pathway","R-DME-2122948","Activated NOTCH1 Transmits Signal to the Nucleus","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1053","REACTOME pathway","R-DME-212436","Generic Transcription Pathway","LinearUp-1",0.0476,24,452,438,1,"LinearUp-1"
"1054","REACTOME pathway","R-DME-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","LinearUp-1",0.0476,3,16,438,1,"LinearUp-1"
"1055","REACTOME pathway","R-DME-3134963","DEx/H-box helicases activate type I IFN and inflammatory cytokines production","LinearUp-1",0.0476,2,6,438,1,"LinearUp-1"
"1056","REACTOME pathway","R-DME-3134975","Regulation of innate immune responses to cytosolic DNA","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1057","REACTOME pathway","R-DME-5213460","RIPK1-mediated regulated necrosis","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1058","REACTOME pathway","R-DME-5675482","Regulation of necroptotic cell death","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1059","REACTOME pathway","R-DME-5696395","Formation of Incision Complex in GG-NER","LinearUp-1",0.0476,4,29,438,1,"LinearUp-1"
"1060","REACTOME pathway","R-DME-937042","IRAK2 mediated activation of TAK1 complex","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1061","REACTOME pathway","R-DME-937072","TRAF6-mediated induction of TAK1 complex within TLR4 complex","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1062","REACTOME pathway","R-DME-975163","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","LinearUp-1",0.0476,2,6,438,2,"Complex-6, LinearUp-1"
"1063","SLIM2 GO BP","GO:0006401","RNA catabolic process","LinearUp-3",0.048,7,100,286,1,"LinearUp-3"
"1064","REACTOME pathway","R-DME-1632852","Macroautophagy","Complex-3",0.049,2,93,21,2,"Complex-3, LinearUp-1"
"1065","REACTOME pathway","R-DME-196849","Metabolism of water-soluble vitamins and cofactors","Complex-3",0.049,2,91,21,2,"Complex-3, Complex-6"
"1066","REACTOME pathway","R-DME-9612973","Autophagy","Complex-3",0.049,2,93,21,2,"Complex-3, LinearUp-1"
"1067","REACTOME pathway","R-DME-109581","Apoptosis","LinearDown-6",0.0494,11,47,1320,1,"LinearDown-6"
"1068","REACTOME pathway","R-DME-1295596","Spry regulation of FGF signaling","Complex-6",0.0494,2,13,149,1,"Complex-6"
"1069","REACTOME pathway","R-DME-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling","Complex-6",0.0494,2,13,149,1,"Complex-6"
